number	kind	category	title	labels	updated_at	url
849	issue	issue-feature-request	[Feature]: Expose custom callbacks each time a note is moved between lists	enhancement	2023-10-26T08:22:43Z	https://github.com/obsidian-community/obsidian-kanban/issues/849
848	issue	issue-bug	[Bug]: card title gets badly formatted	bug	2023-10-25T22:29:52Z	https://github.com/obsidian-community/obsidian-kanban/issues/848
847	issue	issue-feature-request	[Feature]: 从指定文件夹搜寻待办/子弹任务列表	enhancement	2023-10-25T07:04:52Z	https://github.com/obsidian-community/obsidian-kanban/issues/847
846	issue	issue-bug	[Bug]: card with a linked note sticks to cursor when note is opened in new window 	bug	2023-10-21T12:56:35Z	https://github.com/obsidian-community/obsidian-kanban/issues/846
843	issue	issue-settings	[Feature]: New Setting for binding a Status property or Tags in linked Document with the lanes name	enhancement	2024-01-31T23:03:30Z	https://github.com/obsidian-community/obsidian-kanban/issues/843
842	issue	issue-feature-request	[Feature]: Board & their listed notes auto mover & add Hotkey.	enhancement	2023-10-09T08:02:15Z	https://github.com/obsidian-community/obsidian-kanban/issues/842
840	issue	issue-feature-request	[Feature]: Add `data-key` attribute even when key is hidden	enhancement	2023-10-06T05:11:30Z	https://github.com/obsidian-community/obsidian-kanban/issues/840
839	issue	issue-performance	[Bug]: Externally modifying an open Kanban board changes it to markdown mode	bug	2024-03-07T21:25:32Z	https://github.com/obsidian-community/obsidian-kanban/issues/839
837	issue	issue-feature-request	[Feature]: Template for cards	enhancement	2023-12-20T17:27:18Z	https://github.com/obsidian-community/obsidian-kanban/issues/837
836	issue	issue-feature-request	[Feature]: Keyboard Navigation Between Items/Panes	enhancement	2024-07-16T06:17:37Z	https://github.com/obsidian-community/obsidian-kanban/issues/836
835	issue	issue-feature-request	[Feature]: Editing/Subtasks	enhancement	2024-12-28T01:21:31Z	https://github.com/obsidian-community/obsidian-kanban/issues/835
834	issue	issue-feature-request	[Feature]: Color date based on completion	enhancement	2023-09-29T18:57:31Z	https://github.com/obsidian-community/obsidian-kanban/issues/834
